MJD;X;sigma_X;Y;sigma_Y;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;dX;sigma_dX;dY;sigma_dY;bulB/X;bulB/Y;bulB/UT1-UTC;bulB/dX;bulB/dY
48692;-0.025111;0.000254;0.122122;0.000140;-0.2958238;0.0000220;2.3764;0.0170;0.335;0.191;0.119;0.244;-.025300;.121800;-.2959800;0.226;-0.637
48693;-0.028228;0.000254;0.123197;0.000140;-0.2982162;0.0000258;2.4228;0.0165;0.273;0.184;-0.024;0.232;-.028700;.123000;-.2984000;0.349;-0.568
48694;-0.031372;0.000263;0.124514;0.000118;-0.3007007;0.0000247;2.5630;0.0170;0.153;0.199;-0.059;0.238;-.032100;.124300;-.3008900;0.384;-0.333
48695;-0.034524;0.000228;0.126042;0.000114;-0.3033697;0.0000221;2.7858;0.0179;0.059;0.212;-0.066;0.158;-.035400;.125700;-.3035600;0.315;0.004
48696;-0.037725;0.000252;0.127731;0.000135;-0.3062892;0.0000260;3.0595;0.0164;0.041;0.234;-0.024;0.100;-.038700;.127300;-.3064700;0.149;0.212
48697;-0.040964;0.000268;0.129554;0.000200;-0.3094879;0.0000242;3.3309;0.0169;0.044;0.232;0.015;0.101;-.042000;.128900;-.3096600;-0.003;0.155
48698;-0.044224;0.000193;0.131495;0.000220;-0.3129254;0.0000217;3.5254;0.0134;-0.010;0.217;-0.035;0.298;-.045300;.130600;-.3130800;-0.099;-0.330
48699;-0.047499;0.000155;0.133517;0.000206;-0.3164952;0.0000113;3.5892;0.0122;-0.133;0.235;-0.172;0.298;-.048500;.132400;-.3166600;-0.120;-0.836
48700;-0.050792;0.000150;0.135523;0.000207;-0.3200557;0.0000112;3.5085;0.0084;-0.214;0.220;-0.252;0.298;-.051600;.134300;-.3202100;-0.054;-0.980
48701;-0.054094;0.000189;0.137431;0.000215;-0.3234755;0.0000125;3.3178;0.0078;-0.202;0.195;-0.200;0.298;-.054600;.136300;-.3236400;-0.005;-0.942
48702;-0.057344;0.000189;0.139267;0.000226;-0.3266717;0.0000110;3.0685;0.0088;-0.122;0.161;-0.035;0.115;-.057600;.138300;-.3268300;0.088;-0.784
48703;-0.060440;0.000211;0.141081;0.000229;-0.3296130;0.0000123;2.8209;0.0077;-0.033;0.154;0.064;0.123;-.060400;.140300;-.3297700;0.180;-0.542
48704;-0.063313;0.000174;0.142927;0.000157;-0.3323322;0.0000109;2.6295;0.0086;0.047;0.154;0.038;0.123;-.063100;.142400;-.3324800;0.159;-0.467
48705;-0.065911;0.000265;0.144867;0.000164;-0.3348972;0.0000119;2.5136;0.0096;0.129;0.079;-0.009;0.141;-.065700;.144600;-.3350400;0.117;-0.366
48706;-0.068210;0.000310;0.146946;0.000196;-0.3373814;0.0000158;2.4638;0.0104;0.206;0.120;0.010;0.126;-.068200;.146800;-.3375000;0.109;-0.324
48707;-0.070308;0.000310;0.149161;0.000196;-0.3398416;0.0000171;2.4643;0.0146;0.246;0.120;0.077;0.126;-.070600;.149000;-.3399300;0.220;-0.282
48708;-0.072333;0.000373;0.151495;0.000240;-0.3423232;0.0000245;2.5044;0.0136;0.230;0.164;0.118;0.108;-.072800;.151200;-.3424000;0.263;-0.190
48709;-0.074385;0.000401;0.153921;0.000305;-0.3448638;0.0000212;2.5847;0.0169;0.152;0.137;0.091;0.298;-.074900;.153400;-.3449700;0.145;-0.078
48710;-0.076461;0.000408;0.156374;0.000302;-0.3475046;0.0000233;2.7012;0.0157;0.029;0.137;0.035;0.298;-.077000;.155600;-.3476400;-0.022;-0.038
48711;-0.078537;0.000408;0.158779;0.000302;-0.3502700;0.0000232;2.8293;0.0157;-0.110;0.187;0.000;0.298;-.079000;.157800;-.3504400;-0.208;-0.220
